name,type,variant
Eggless Old Fashion Vanilla Ice Cream,Ice Cream,FAMILY_TUB_725ML
Eggless Old Fashion Vanilla Ice Cream,Ice Cream,PERFECT_PLENTY_300ML
Eggless Old Fashion Vanilla Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS
Eggless Paan & Gulkand Ice Cream,Ice Cream,FAMILY_TUB_700ML
Eggless Paan & Gulkand Ice Cream,Ice Cream,FAMILY_TUB_725ML
Eggless Paan & Gulkand Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS
Eggless Paan & Gulkand Ice Cream,Ice Cream,MINI_TUB_200ML
Eggless Paan & Gulkand Ice Cream,Ice Cream,PERFECT_PLENTY_200GMS
Eggless Paan & Gulkand Ice Cream,Ice Cream,PERFECT_PLENTY_300ML
Eggless Paan & Gulkand Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS
Eggless Paan & Gulkand Ice Cream,Ice Cream,REGULAR_TUB_220GMS
Eggless Paan & Gulkand Ice Cream,Ice Cream,REGULAR_TUB_300ML
Eggless Paan & Gulkand Ice Cream (navratri),Ice Cream,FAMILY_TUB_725ML
Eggless Paan & Gulkand Ice Cream (navratri),Ice Cream,REGULAR_TUB_300ML
Eggless Strawberry Cream Cheese,Ice Cream,JUNIOR_SCOOP_60GMS
Eggless Strawberry Cream Cheese Ice Cream,Ice Cream,FAMILY_TUB_700ML
Eggless Strawberry Cream Cheese Ice Cream,Ice Cream,FAMILY_TUB_725ML
Eggless Strawberry Cream Cheese Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS
Eggless Strawberry Cream Cheese Ice Cream,Ice Cream,MINI_TUB_200ML
Eggless Strawberry Cream Cheese Ice Cream,Ice Cream,PERFECT_PLENTY_200GMS
Eggless Strawberry Cream Cheese Ice Cream,Ice Cream,PERFECT_PLENTY_300ML
Eggless Strawberry Cream Cheese Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS
Eggless Strawberry Cream Cheese Ice Cream,Ice Cream,REGULAR_TUB_300ML
Eggless Strawberry Cream Cheese Ice Cream (navratri),Ice Cream,FAMILY_TUB_725ML
Eggless Strawberry Cream Cheese Ice Cream (navratri),Ice Cream,REGULAR_TUB_300ML
Employee Dessert ( Any 1 ),Dessert,1_PIECE
Fig & Orange,Ice Cream,MINI_TUB_160GMS
Fig & Orange,Ice Cream,MINI_TUB_200ML
Fig & Orange Ice Cream,Ice Cream,FAMILY_TUB_500GMS
Fig & Orange Ice Cream,Ice Cream,FAMILY_TUB_550GMS
Fig & Orange Ice Cream,Ice Cream,FAMILY_TUB_725ML
Fig & Orange Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS
Fig & Orange Ice Cream,Ice Cream,MINI_TUB_160GMS
Fig & Orange Ice Cream,Ice Cream,MINI_TUB_200ML
Fig & Orange Ice Cream,Ice Cream,PERFECT_PLENTY_200GMS
Fig & Orange Ice Cream,Ice Cream,PERFECT_PLENTY_300ML
Fig & Orange Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS
Fig & Orange Ice Cream,Ice Cream,REGULAR_TUB_220GMS
Fig & Orange Ice Cream,Ice Cream,REGULAR_TUB_300ML
Fudgy Chocolate Brownie,Dessert,1_PIECE
Fudgy Chocolate Brownie,Dessert,2_PIECES
Go Bananas Ice Cream,Ice Cream,FAMILY_TUB_550GMS
Go Bananas Ice Cream,Ice Cream,MINI_TUB_200ML
Go Bananas Ice Cream,Ice Cream,PERFECT_PLENTY_200GMS
Half In Half Regular Scoop Combo,Combo,REGULAR_SCOOP_120GMS
Hot Chocolate,Drinks,1_PIECE
Hot Chocolate Fudge Sauce,Extra,250GMS
Ice Cream Cake,Ice Cream,1KG
Ice Cream Cake,Ice Cream,400GMS
Ice Cream Factory Visit & Trials,Service,FAMILY
Ice Cream Factory Visit & Trials,Service,SINGLE
Just Chocolate,Ice Cream,MINI_TUB_160GMS
Just Chocolate Ice Cream,Ice Cream,FAMILY_TUB_500GMS
Just Chocolate Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS
Just Chocolate Ice Cream,Ice Cream,MINI_TUB_160GMS
Just Chocolate Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS
Just Chocolate Ice Cream,Ice Cream,REGULAR_TUB_220GMS
Large Box Thermocol And Dry Ice Packaging,Extra,1_PIECE
Masala Chai Ice Cream,Ice Cream,FAMILY_TUB_700ML
Masala Chai Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS
Masala Chai Ice Cream,Ice Cream,MINI_TUB_160GMS
Masala Chai Ice Cream,Ice Cream,MINI_TUB_200ML
Masala Chai Ice Cream,Ice Cream,PERFECT_PLENTY_300ML
Masala Chai Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS
Masala Chai Ice Cream,Ice Cream,REGULAR_TUB_220GMS
Masala Chai Ice Cream,Ice Cream,REGULAR_TUB_300ML
Mocha Indulgence Duo Ice Creams,Combo,DUO_200ML_200ML
Monkey Business Ice Cream,Ice Cream,FAMILY_TUB_500GMS
Monkey Business Ice Cream,Ice Cream,FAMILY_TUB_550GMS
Monkey Business Ice Cream,Ice Cream,FAMILY_TUB_700ML
Monkey Business Ice Cream,Ice Cream,FAMILY_TUB_725ML
Monkey Business Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS
Monkey Business Ice Cream,Ice Cream,MINI_TUB_160GMS
Monkey Business Ice Cream,Ice Cream,MINI_TUB_200ML
Monkey Business Ice Cream,Ice Cream,PERFECT_PLENTY_300ML
Monkey Business Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS
Monkey Business Ice Cream,Ice Cream,REGULAR_TUB_220GMS
Monkey Business Ice Cream,Ice Cream,REGULAR_TUB_300ML
New York Baked Cheesecake Eggless,Dessert,1_PIECE
Nona’s Traditional Plum Cake Eggless Contains Alcohol,Dessert,1_PIECE
Old Fashion Vanilla,Ice Cream,JUNIOR_SCOOP_60GMS
Old Fashion Vanilla Ice Cream,Ice Cream,FAMILY_TUB_500GMS
Old Fashion Vanilla Ice Cream,Ice Cream,FAMILY_TUB_700ML
Old Fashion Vanilla Ice Cream,Ice Cream,FAMILY_TUB_725ML
Old Fashion Vanilla Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS
Old Fashion Vanilla Ice Cream,Ice Cream,MINI_TUB_160GMS
Old Fashion Vanilla Ice Cream,Ice Cream,MINI_TUB_200ML
Old Fashion Vanilla Ice Cream,Ice Cream,PERFECT_PLENTY_200GMS
Old Fashion Vanilla Ice Cream,Ice Cream,PERFECT_PLENTY_300ML
Old Fashion Vanilla Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS
Old Fashion Vanilla Ice Cream,Ice Cream,REGULAR_TUB_220GMS
Old Fashion Vanilla Ice Cream,Ice Cream,REGULAR_TUB_300ML
Orange & Biscuits (Contains Alcohol) Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS
Orange & Chocolate Cheesecake,Dessert,1_PIECE
Orange (Contains Alcohol) Ice Cream,Ice Cream,MINI_TUB_160GMS
Orange (Contains Alcohol) Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS
Orange (Contains Alcohol) Ice Cream,Ice Cream,REGULAR_TUB_220GMS
Paan & Gulkand Ice Cream,Ice Cream,FAMILY_TUB_500GMS
Paan & Gulkand Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS
Paan & Gulkand Ice Cream,Ice Cream,MINI_TUB_160GMS
Paan & Gulkand Ice Cream,Ice Cream,MINI_TUB_200ML
Paan & Gulkand Ice Cream,Ice Cream,PERFECT_PLENTY_200GMS
Paan & Gulkand Ice Cream,Ice Cream,PERFECT_PLENTY_300ML
Paan & Gulkand Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS
Paan & Gulkand Ice Cream,Ice Cream,REGULAR_TUB_220GMS
Paan & Gulkand Ice Cream,Ice Cream,REGULAR_TUB_300ML
Pistachio Ice Cream,Ice Cream,FAMILY_TUB_500GMS
Pistachio Ice Cream,Ice Cream,FAMILY_TUB_700ML
Pistachio Ice Cream,Ice Cream,FAMILY_TUB_725ML
Pistachio Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS
Pistachio Ice Cream,Ice Cream,MINI_TUB_160GMS
Pistachio Ice Cream,Ice Cream,MINI_TUB_200ML
Pistachio Ice Cream,Ice Cream,PERFECT_PLENTY_200GMS
Pistachio Ice Cream,Ice Cream,PERFECT_PLENTY_300ML
Pistachio Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS
Pistachio Ice Cream,Ice Cream,REGULAR_TUB_220GMS
Pistachio Ice Cream,Ice Cream,REGULAR_TUB_300ML
Pistachio Ice Cream Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS
Rose Cardamom Ice Cream,Ice Cream,FAMILY_TUB_700ML
Rose Cardamom Ice Cream,Ice Cream,FAMILY_TUB_725ML
Rose Cardamom Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS
Rose Cardamom Ice Cream,Ice Cream,MINI_TUB_160GMS
Rose Cardamom Ice Cream,Ice Cream,MINI_TUB_200ML
Rose Cardamom Ice Cream,Ice Cream,PERFECT_PLENTY_200GMS
Rose Cardamom Ice Cream,Ice Cream,PERFECT_PLENTY_300ML
Rose Cardamom Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS
Rose Cardamom Ice Cream,Ice Cream,REGULAR_TUB_220GMS
Rose Cardamom Ice Cream,Ice Cream,REGULAR_TUB_300ML
School Kids Factory Visit,Service,1_PIECE
Special Packaging Dryice Charges,Extra,1_PIECE
Special Packaging Thermocol Charges,Extra,1_PIECE
Strawberry Cream Cheese Ice Cream,Ice Cream,FAMILY_TUB_500GMS
Strawberry Cream Cheese Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS
Strawberry Cream Cheese Ice Cream,Ice Cream,MINI_TUB_160GMS
Strawberry Cream Cheese Ice Cream,Ice Cream,MINI_TUB_200ML
Strawberry Cream Cheese Ice Cream,Ice Cream,PERFECT_PLENTY_200GMS
Strawberry Cream Cheese Ice Cream,Ice Cream,PERFECT_PLENTY_300ML
Strawberry Cream Cheese Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS
Strawberry Cream Cheese Ice Cream,Ice Cream,REGULAR_TUB_220GMS
Strawberry Cream Cheese Ice Cream,Ice Cream,REGULAR_TUB_300ML
Sunshine Limone Ice Cream,Ice Cream,FAMILY_TUB_550GMS
Sunshine Limone Ice Cream,Ice Cream,FAMILY_TUB_700ML
Sunshine Limone Ice Cream,Ice Cream,FAMILY_TUB_725ML
Sunshine Limone Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS
Sunshine Limone Ice Cream,Ice Cream,MINI_TUB_160GMS
Sunshine Limone Ice Cream,Ice Cream,MINI_TUB_200ML
Sunshine Limone Ice Cream,Ice Cream,PERFECT_PLENTY_200GMS
Sunshine Limone Ice Cream,Ice Cream,PERFECT_PLENTY_300ML
Sunshine Limone Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS
Sunshine Limone Ice Cream,Ice Cream,REGULAR_TUB_220GMS
Sunshine Limone Ice Cream,Ice Cream,REGULAR_TUB_300ML
Takeaway Cup,Extra,1_PIECE
Tres Leches,Dessert,1_PIECE
Triple Chocolate Ice Cream,Ice Cream,FAMILY_TUB_725ML
Triple Chocolate Ice Cream,Ice Cream,MINI_TUB_200ML
Triple Chocolate Ice Cream,Ice Cream,PERFECT_PLENTY_200GMS
Triple Chocolate Ice Cream,Ice Cream,PERFECT_PLENTY_300ML
Triple Chocolate Ice Cream,Ice Cream,PERFECT_PLENTY_325ML
Triple Chocolate Ice Cream,Ice Cream,PERFECT_PLENTY_350ML
Triple Chocolate Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS
Waffle Cone,Extra,1_PIECE
Water Bottle,Drinks,1_PIECE
