raw_name,cleaned_name,type,variant,is_verified
Fig & Orange 200ml,Eggless Fig & Orange Ice Cream,Ice Cream,MINI_TUB_200ML,True
Old Fashion Vanilla Ice Cream (Regular Scoop),Old Fashion Vanilla Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Sunshine Limone Ice Cream (Regular Scoop),Sunshine Limone Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Old Fashion Vanilla Ice Cream 200ml,Old Fashion Vanilla Ice Cream,Ice Cream,MINI_TUB_200ML,True
Fig &amp; Orange 200ml,Eggless Fig & Orange Ice Cream,Ice Cream,MINI_TUB_200ML,True
Mocha Indulgence Duo Ice Creams (200ml + 200ml),Mocha Indulgence Duo Ice Creams,Combo,DUO_200ML_200ML,True
Triple Chocolate Ice Cream 200ml,Triple Chocolate Ice Cream,Ice Cream,MINI_TUB_200ML,True
Eggless Strawberry Cream Cheese Ice Cream (Regular Scoop),Eggless Strawberry Cream Cheese Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Monkey Business Ice Cream (Family Feast (725ml)),Monkey Business Ice Cream,Ice Cream,FAMILY_TUB_725ML,True
Old Fashion Vanilla Ice Cream (Perfect Plenty (300ml)),Old Fashion Vanilla Ice Cream,Ice Cream,PERFECT_PLENTY_300ML,True
Eggless Cherry & Chocolate Ice Cream (Family Tub (725ml)),Eggless Cherry & Chocolate Ice Cream,Ice Cream,FAMILY_TUB_725ML,True
Sunshine Limone Ice Cream (Family Tub (725ml)),Sunshine Limone Ice Cream,Ice Cream,FAMILY_TUB_725ML,True
Eggless Cherry & Chocolate Ice Cream (Mini tub (200ml)),Eggless Cherry & Chocolate Ice Cream,Ice Cream,MINI_TUB_200ML,True
Eggless Coffee Mascarpone Ice Cream (Mini tub (200ml)),Eggless Coffee Mascarpone Ice Cream,Ice Cream,MINI_TUB_200ML,True
Old Fashion Vanilla Ice Cream (Mini tub (200ml)),Old Fashion Vanilla Ice Cream,Ice Cream,MINI_TUB_200ML,True
Pistachio Ice Cream (Mini tub (200ml)),Pistachio Ice Cream,Ice Cream,MINI_TUB_200ML,True
Fig Orange Ice Cream (Regular Tub (300ml)),Eggless Fig & Orange Ice Cream,Ice Cream,REGULAR_TUB_300ML,True
Design Your Indulgence Duo,Design Your Indulgence Duo,Combo,DUO_200ML_200ML,True
Eggless Paan & Gulkand Ice Cream (Family Tub (725ml)),Eggless Paan & Gulkand Ice Cream,Ice Cream,FAMILY_TUB_725ML,True
Cakes & Cookies Ice Cream (Perfect Plenty (300ml)),Cakes & Cookies Ice Cream,Ice Cream,PERFECT_PLENTY_300ML,True
Half In Half Regular Scoop Combo,Half In Half Regular Scoop Combo,Combo,REGULAR_SCOOP_120GMS,True
