parent_cluster_name,parent_cluster_type,child_cluster_name,menu_item_id,variant_id,mapping_count,verified_mapping_count,source_item_count,source_item_ids,source_item_kinds,item_row_count,addon_row_count,raw_name_count,raw_names,historical_merged_source_count,historical_merged_source_names
Affogato,Dessert,1_PIECE,6da65f92-f7f1-54ba-ac3d-9055901159e6,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1,1,1,1288318311,item,52,0,1,Affogato,0,
Assorted Cookie Duo ( Dark Chocolate + Choco Chip ),Dessert,1_PIECE,d225afda-6dee-5301-9188-f297124e6dd4,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1,1,1,1291692108,item,4,0,1,Assorted Cookie Duo ( Dark Chocolate (1pc) + Choco Chip (1pc) ),0,
Boston Cream Pie,Dessert,1_PIECE,25fff5d0-1eed-5d67-beed-b1574ab25922,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1,1,1,1285806508,item,35,0,1,Boston Cream Pie(1pcs),0,
Boston Cream Pie,Dessert,2_PIECES,25fff5d0-1eed-5d67-beed-b1574ab25922,5f354550-0f38-58c3-ad16-97672a66817d,1,1,1,1285527847,item,1016,0,2,Boston Cream Pie Dessert(2pcs) | Boston Cream Piec(2pcs),0,
Brownie Cheesecake,Dessert,1_PIECE,01998c43-6128-522f-bc5d-0c76a744a546,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1,1,1,1293402169,item,264,0,1,Brownie Cheesecake,0,
Choco Chunk Cookie,Dessert,1_PIECE,bfd11597-b2e2-5e1b-87c4-2877b282e28e,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1,1,1,1291691126,item,3,0,1,Choco Chunk Cookie(1pcs),0,
Choco Chunk Cookie,Dessert,2_PIECES,bfd11597-b2e2-5e1b-87c4-2877b282e28e,5f354550-0f38-58c3-ad16-97672a66817d,1,1,1,1291691125,item,5,0,1,Choco Chunk Cookie (2pcs),0,
Classic Chocolate Lamington,Dessert,1_PIECE,5cab9534-dbff-5d1c-8651-f3aec8a41284,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1,1,1,1285806723,item,33,0,1,Classic Chocolate Lamington (1pcs),0,
Classic Chocolate Lamington,Dessert,2_PIECES,5cab9534-dbff-5d1c-8651-f3aec8a41284,5f354550-0f38-58c3-ad16-97672a66817d,1,1,1,1285254017,item,816,0,1,Classic Chocolate Lamington (2pcs),0,
Classic Tiramisu,Dessert,1_PIECE,64ac2ffe-d208-510b-88a9-1df149047218,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1,1,1,1283777806,item,2092,0,1,Classic Tiramisu,0,
