merge_id,merged_at,payload_kind,source_id,source_name,source_type,target_id_at_event,target_name_at_event,current_target_id,current_target_name,current_target_type,variant_assignments,affected_source_item_count,affected_source_item_ids,source_item_kinds,item_row_count,addon_row_count,raw_name_count,raw_names,mapping_rows_count,order_item_rows_count,order_item_addons_count
28,2026-04-09 14:51:38,variant_merge_v1,2a7362d5-e130-5516-8a2a-d2599234a7dc,Fig & Orange Sample,Ice Cream,af249e85-4855-5076-867f-139e7e79da37,Fig & Orange Ice Cream,af249e85-4855-5076-867f-139e7e79da37,Fig & Orange Ice Cream,Ice Cream,1_PIECE -> 1_PIECE,1,0324641a-d58c-5c6e-ad3a-2f020a23dde3,,0,0,0,,1,0,1
27,2026-04-09 14:51:12,variant_merge_v1,8c35b1f1-91d0-57af-89fb-c96c30bdb38e,Chocolate Overload Sample,Ice Cream,03c6d171-50c2-597d-92bb-b039e2384761,Eggless Chocolate Overload Ice Cream,03c6d171-50c2-597d-92bb-b039e2384761,Eggless Chocolate Overload Ice Cream,Ice Cream,1_PIECE -> 1_PIECE,1,047d13c4-93cc-5a50-8e5d-84a9f6a96edf,,0,0,0,,1,0,1
25,2026-04-09 14:42:41,legacy_merge_v1,7d305ca0-8c47-5a6e-96fe-4ab7835e1268,Eggless Cherry & Chocolate,Ice Cream,9314d919-4b6f-50d1-a1d1-11aa83647a76,Eggless Cherry & Chocolate Ice Cream,9314d919-4b6f-50d1-a1d1-11aa83647a76,Eggless Cherry & Chocolate Ice Cream,Ice Cream,,9,53120309 | 53120312 | 53120313 | 53120322 | 53120323 | 53120324 | 53120326 | 53120327 | 53120328,addon,0,46,4,Eggles Cherry & Chocolate 200ml | Eggles Cherry &amp; Chocolate 200ml | Eggless Cherry & Chocolate 200ml | Eggless Cherry &amp; Chocolate 200ml,9,0,0
24,2026-04-09 14:41:55,legacy_merge_v1,27a712d1-6c32-5f79-b0bb-80722458a5a8,Cherry & Chocolate (60gm),Ice Cream,9314d919-4b6f-50d1-a1d1-11aa83647a76,Eggless Cherry & Chocolate Ice Cream,9314d919-4b6f-50d1-a1d1-11aa83647a76,Eggless Cherry & Chocolate Ice Cream,Ice Cream,,1,04bc13b8-3888-57e7-8d27-bc99328622b9,,0,0,0,,1,0,0
23,2026-04-09 14:34:55,variant_merge_v1,b83b89ed-172a-59ca-8b76-5f8b2905baeb,Old Fashion Vanilla (60gm),Ice Cream,00ee108c-d7e8-59c1-a247-5898b5407e7d,Old Fashion Vanilla,00ee108c-d7e8-59c1-a247-5898b5407e7d,Old Fashion Vanilla,Ice Cream,1_PIECE -> JUNIOR_SCOOP_60GMS,1,34d13340-caba-5cb5-a372-a460ab56743c,,0,0,0,,1,0,3
22,2026-04-09 13:35:24,legacy_merge_v1,f55f2f72-75af-5543-95a3-def67e806b76,Orange And Orange Jam (60gm),Ice Cream,40ad4449-a346-58aa-b244-0e948b030f27,Orange With Orange Jam,40ad4449-a346-58aa-b244-0e948b030f27,Orange With Orange Jam,Ice Cream,,2,62874737 | 944d4448-8d5a-515b-b6ee-a7453404143e,addon,0,2,1,Orange And Orange Jam (60gm),2,0,0
21,2026-04-09 13:34:19,legacy_merge_v1,fef2c1f1-8e3f-5efb-97b2-a2acd37b0488,Orange With Orange Jam Ice Cream,Ice Cream,40ad4449-a346-58aa-b244-0e948b030f27,Orange With Orange Jam,40ad4449-a346-58aa-b244-0e948b030f27,Orange With Orange Jam,Ice Cream,,5,1302246701 | 1302246702 | 1302246703 | 1302246704 | 1302246705,item,154,0,6,Orange With Orange Jam Ice Cream (Family Tub (500gms)) | Orange With Orange Jam Ice Cream (Junior Scoop (60gm)) | Orange With Orange Jam Ice Cream (Mini Tub (160gms)) | Orange With Orange Jam Ice Cream (Mini tub (160gms)) | Orange With Orange Jam Ice Cream (Regular Scoop (120gm)) | Orange With Orange Jam Ice Cream (Regular Tub (220gms)),5,0,0
20,2026-04-09 13:09:20,variant_merge_v1,a42d8a0a-c7ce-5169-8828-a5301c592f39,Sunshine Limone (60gm),Ice Cream,a8546c3d-fda9-56dc-a578-11585845e21f,Sunshine Limone Ice Cream,a8546c3d-fda9-56dc-a578-11585845e21f,Sunshine Limone Ice Cream,Ice Cream,1_PIECE -> JUNIOR_SCOOP_60GMS,1,418096f0-17d0-5825-a10e-299802eccf40,,0,0,0,,1,0,5
19,2026-04-09 13:08:59,variant_merge_v1,859859d2-98c2-5b8d-8263-2e75b1cb5020,Dates With Fig & Orange (60gm),Ice Cream,eb6da8ab-301c-5723-8cc9-696d41ab7917,Dates With Fig & Orange,9f65a688-f7d4-54d8-97c1-af3fbb88b929,Dates With Fig & Orange Eggless,Ice Cream,1_PIECE -> JUNIOR_SCOOP_60GMS,1,fcb7118d-b412-53d1-b37e-f2af0910a130,,0,0,0,,1,0,1
18,2026-04-09 13:08:47,variant_merge_v1,f16db08d-7e8c-5fad-b99f-8471d9024378,Dates & Chocolate (60gm),Ice Cream,4eb61886-91d1-5648-96e8-a6f662ff1683,Dates & Chocolate,8e0cabbe-2605-5acd-a13f-bc142df0d168,Dates & Chocolate Eggless,Ice Cream,1_PIECE -> JUNIOR_SCOOP_60GMS,1,c9d049da-8236-56d0-8d35-077162841386,,0,0,0,,1,0,5
17,2026-04-09 12:47:44,variant_merge_v1,159552a6-5f13-5cb8-b40f-1c62466c8956,Monkey Business Ice Cream (60gm),Ice Cream,3c11f5f6-0712-593a-972b-b3a9acb398b5,Monkey Business Ice Cream,3c11f5f6-0712-593a-972b-b3a9acb398b5,Monkey Business Ice Cream,Ice Cream,1_PIECE -> JUNIOR_SCOOP_60GMS,1,91129549-cbd3-5062-83e6-f08837d69de4,,0,0,0,,1,0,11
16,2026-04-09 12:47:28,variant_merge_v1,86c66a88-f96b-55af-850c-5a2f7cdfcd71,Fig & Orange (60gm),Ice Cream,57542085-c8ca-5822-968b-02c5e6f24558,57542085-c8ca-5822-968b-02c5e6f24558,af249e85-4855-5076-867f-139e7e79da37,Fig & Orange Ice Cream,Ice Cream,1_PIECE -> JUNIOR_SCOOP_60GMS,1,5285e894-3993-522e-a621-01759240e55a,,0,0,0,,1,0,7
15,2026-04-09 12:47:21,variant_merge_v1,e7f6bd84-c424-5e8c-ac24-f023bc52bdbe,Eggless Coffee Mascarpone (60gm),Ice Cream,c9b75532-8b1c-5a96-bf9d-1bf64d857f5a,Eggless Coffee Mascarpone Ice Cream,c9b75532-8b1c-5a96-bf9d-1bf64d857f5a,Eggless Coffee Mascarpone Ice Cream,Ice Cream,1_PIECE -> JUNIOR_SCOOP_60GMS,1,a352c745-890c-57a5-b5ee-450f633ec0b6,,0,0,0,,1,0,4
14,2026-04-09 12:47:07,variant_merge_v1,f476a04a-83dc-5726-9cdd-a8d3501f58ad,Dates Rose & Nuts (60gm),Ice Cream,59f649bb-a890-5d32-9f7a-3a686599b0ec,Dates Rose & Nuts Ice Cream,59f649bb-a890-5d32-9f7a-3a686599b0ec,Dates Rose & Nuts Ice Cream,Ice Cream,1_PIECE -> JUNIOR_SCOOP_60GMS,1,713276f9-900f-5bba-ab1d-e9dc69510d9e,,0,0,0,,1,0,1
